epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9726364612579346,0.2576911449432373,0.09349796921014786,0.0345371849834919,0.03406078740954399,452553.09375,0.001,0.5455494523048401,0.9668102264404297,0.9530373811721802,0.9931881427764893,0.9843381643295288,0.2685931921005249,0.15802836418151855,0.06334782391786575,0.03636505454778671,0.07241299748420715,0.763843297958374,0.9841383695602417,0.9841592907905579,0.9947419166564941
1,0.9823935627937317,0.27068468928337097,0.1209704726934433,0.05847109854221344,0.05365994572639465,0.07802190631628036,0.001,0.6424787044525146,0.9823317527770996,0.9821756482124329,0.9941308498382568,0.9843382239341736,0.27032405138015747,0.11588431894779205,0.04424362629652023,0.047727227210998535,0.06500765681266785,0.4327883720397949,0.9842508435249329,0.9842715859413147,0.99476158618927
2,0.9823955297470093,0.2726474702358246,0.12580813467502594,0.06731327623128891,0.060711923986673355,0.07760020345449448,0.001,0.6113418340682983,0.9827442765235901,0.9819025993347168,0.9942620396614075,0.9843380451202393,0.27327415347099304,0.11810595542192459,0.06900554150342941,0.06169923394918442,0.06435412168502808,0.737714409828186,0.9842995405197144,0.984237790107727,0.9947830438613892
3,0.9823977947235107,0.27843210101127625,0.13613930344581604,0.08876880258321762,0.06867658346891403,0.07289937883615494,0.001,0.719020426273346,0.983008861541748,0.9817131757736206,0.9943509101867676,0.9843447804450989,0.2812642753124237,0.17725184559822083,0.08482643216848373,0.0890224352478981,0.06393451243638992,0.8134027123451233,0.9851993918418884,0.9840227961540222,0.9950836896896362
4,0.9823963046073914,0.27548566460609436,0.13205741345882416,0.08060350269079208,0.0634857788681984,0.07950887829065323,0.001,0.6603755950927734,0.982495903968811,0.9818395376205444,0.9941846132278442,0.9843381643295288,0.2836606204509735,0.17793403565883636,0.12099048495292664,0.08740322291851044,0.06554248183965683,0.6711444854736328,0.9856142401695251,0.9837188720703125,0.9952239990234375
5,0.9823955297470093,0.28041255474090576,0.14162881672382355,0.099467433989048,0.0699201449751854,0.07440842688083649,0.001,0.6783075332641602,0.9829884171485901,0.9812129735946655,0.9943375587463379,0.9843382239341736,0.2804371118545532,0.14365753531455994,0.07469715923070908,0.06640087068080902,0.06140551716089249,0.7533613443374634,0.9846208691596985,0.9842119216918945,0.9948790073394775
6,0.9824030995368958,0.28483641147613525,0.15367776155471802,0.10669500380754471,0.073341004550457,0.07051307708024979,0.0005,0.7460559606552124,0.9830836653709412,0.9817011952400208,0.9943668842315674,0.9843432903289795,0.28500989079475403,0.14126601815223694,0.11019009351730347,0.07353097945451736,0.060704827308654785,0.7656203508377075,0.9850188493728638,0.9841504693031311,0.9950124621391296
7,0.9824327230453491,0.2879033088684082,0.1632147878408432,0.11738510429859161,0.07675536721944809,0.06900259852409363,0.0005,0.7446494102478027,0.98328697681427,0.9819696545600891,0.9944345951080322,0.9844077825546265,0.2895989418029785,0.18160271644592285,0.15389269590377808,0.08155758678913116,0.06184669956564903,0.7350242137908936,0.9859240651130676,0.9837977290153503,0.9953157305717468
8,0.9824836254119873,0.2904670834541321,0.161159485578537,0.1369122564792633,0.07745502889156342,0.06877307593822479,0.0005,0.7598276138305664,0.9833923578262329,0.9816493391990662,0.9944674968719482,0.9843380451202393,0.2689294219017029,0.09301088005304337,0.01993527077138424,0.029929954558610916,0.06829847395420074,0.7766444683074951,0.9842965602874756,0.9843176603317261,0.9947655200958252
9,0.9823965430259705,0.28847819566726685,0.16401509940624237,0.12041019648313522,0.0746481642127037,0.0689798891544342,0.0005,0.7784690856933594,0.9827012419700623,0.9820906519889832,0.9942416548728943,0.9843380451202393,0.2862187623977661,0.11820263415575027,0.13388456404209137,0.07941754162311554,0.0610923133790493,0.7324467897415161,0.9849328994750977,0.9841879606246948,0.9949862360954285
10,0.9824097156524658,0.29057788848876953,0.17095674574375153,0.1264115869998932,0.07740908116102219,0.06867092102766037,0.0005,0.7659780979156494,0.9830235242843628,0.9819637537002563,0.994347095489502,0.9843432903289795,0.2917041778564453,0.21042649447917938,0.12321005761623383,0.09426560252904892,0.06182825192809105,0.7695075273513794,0.9853522777557373,0.98399817943573,0.9951272010803223
